2081	45579	24.0433	0.955939	1983.08	45579
2082	14032	7.56254	0.946572	1960.19	14032
2083	46112	24.888	0.947006	1956.46	46112
2084	45713	24.9457	0.939943	1949.58	45713
2085	51292	27.9467	0.938451	1955.72	51292
2073	67956	22.4269	0.897578	3375.87	67956
2074	93294	30.2274	0.90423	3413.29	93294
2087	54391	17.3575	0.915324	3423.46	54391
2088	57682	18.1428	0.92545	3435.45	57682
2089	59441	18.5365	0.933196	3436.26	59441
2090	50143	15.367	0.944843	3453.52	50143
2091	46285	13.8441	0.955908	3497.51	46285
2093	28031	25.9038	0.953922	1134.39	28031
2094	35850	33.035	0.955985	1135.18	35850
2095	63036	57.6575	0.959425	1139.52	63036
2096	19648	27.4278	0.95982	746.342	19648
2075	68133	41.7705	0.957891	1702.83	68133
2076	90810	55.4172	0.962369	1702.74	90810
2078	29333	16.8289	0.991629	1757.72	29333
2080	36939	21.4624	0.991882	1735.19	36939
2081	41394	24.0433	0.986901	1744.49	41394
2082	12735	7.56254	0.979124	1719.86	12735
2083	42013	24.888	0.978947	1724.39	42013
2084	41554	24.9457	0.973285	1711.5	41554
2085	46607	27.9467	0.969367	1720.41	46607
2075	68133	41.7705	0.957891	1702.83	68133
2076	90810	55.4172	0.962369	1702.74	90810
2078	29333	16.8289	0.991629	1757.72	29333
2080	36939	21.4624	0.991882	1735.19	36939
2081	41394	24.0433	0.986901	1744.49	41394
2082	12735	7.56254	0.979124	1719.86	12735
2083	42013	24.888	0.978947	1724.39	42013
2084	41554	24.9457	0.973285	1711.5	41554
2085	46607	27.9467	0.969367	1720.41	46607
2073	57525	22.4269	0.928689	2761.95	57525
2074	78770	30.2274	0.936422	2782.84	78770
2087	46000	17.3575	0.94702	2798.42	46000
2088	48790	18.1428	0.957179	2809.53	48790
2089	50396	18.5365	0.964611	2818.49	50396
2090	42526	15.367	0.978448	2828.32	42526
2091	39141	13.8441	0.987066	2864.32	39141
2096	14034	27.4278	0.989391	517.157	14034
2093	21241	25.9038	0.979974	836.753	21241
2094	27278	33.035	0.982857	840.134	27278
2095	47792	57.6575	0.986599	840.154	47792
